"song","elements"
"august","Verse 1, Verse 1, Verse 1, Verse 1, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Outro, Outro, Outro, Outro, Outro, Outro, Outro, Outro, Outro, Outro, Outro, Outro, Outro, Outro, Outro, Outro"
"this is me trying","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Chorus, Chorus, Post-Chorus, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Outro"
"illicit affairs","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Outro, Outro, Outro"
"invisible string","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Verse 3, Verse 3, Verse 3, Verse 3, Verse 3, Verse 3, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Outro, Outro"
"mad woman","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Outro, Outro, Outro"
"epiphany","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Outro, Outro, Outro, Outro"
"betty","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Verse 3, Verse 3, Verse 3, Verse 3, Verse 3, Verse 3, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Outro, Outro, Outro, Outro"
"peace","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus"
"hoax","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Outro, Outro, Outro, Outro, Outro, Outro"
"the lakes","Verse 1, Verse 1, Verse 1, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus"
"willow","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Verse 3, Verse 3, Verse 3, Verse 3, Verse 3, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Outro, Outro, Outro, Outro, Outro, Outro, Outro, Outro"
"champagne problems","Verse 1, Verse 1, Verse 1, Verse 1, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Outro, Outro"
"gold rush","Intro, Intro, Intro, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 1, Verse 1, Verse 1, Verse 1, Refrain, Refrain, Refrain, Refrain, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Refrain, Refrain, Refrain, Refrain, Outro, Outro, Outro"
"'tis the damn season","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Outro"
"tolerate it","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Chorus 1, Chorus 1, Chorus 1, Chorus 1, Chorus 1, Chorus 1, Chorus 1, Chorus 1, Verse 2, Verse 2, Verse 2, Verse 2, Chorus 1, Chorus 1, Chorus 1, Chorus 1, Chorus 1, Chorus 1, Chorus 1, Chorus 1, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Chorus 2, Chorus 2, Chorus 2, Chorus 2, Chorus 2, Chorus 2, Chorus 2, Chorus 2, Outro"
"no body, no crime","Intro, Intro, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Chorus, Chorus, Chorus, Chorus, Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Chorus, Chorus, Chorus, Chorus, Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Verse 3, Verse 3, Verse 3, Verse 3, Verse 3, Chorus, Chorus, Chorus, Outro, Outro, Outro, Outro, Outro, Outro"
"happiness","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Chorus, Chorus, Chorus, Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Chorus, Chorus, Chorus, Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Verse 3, Verse 3, Verse 3, Verse 3, Verse 3, Verse 3, Verse 3, Verse 3, Chorus, Chorus, Chorus, Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus"
"dorothea","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Post-Chorus, Post-Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Outro, Outro, Outro, Outro, Outro, Outro, Outro"
"coney island","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Outro, Outro, Outro, Outro, Outro, Outro, Outro"
"ivy","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 3, Verse 3, Verse 3, Verse 3, Verse 3, Verse 3, Verse 3, Verse 3, Verse 3, Verse 3, Verse 3, Verse 3, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus"
"cowboy like me","Verse 1, Verse 1, Verse 1, Verse 1, Verse 2, Verse 2, Verse 2, Verse 2, Chorus, Chorus, Chorus, Verse 3, Verse 3, Verse 3, Verse 3, Chorus, Chorus, Chorus, Post-Chorus 1, Post-Chorus 1, Post-Chorus 1, Post-Chorus 1, Post-Chorus 1, Post-Chorus 1, Post-Chorus 2, Post-Chorus 2, Post-Chorus 2, Post-Chorus 2, Post-Chorus 2, Post-Chorus 2, Chorus, Post-Chorus 1, Post-Chorus 1, Post-Chorus 1, Post-Chorus 1, Post-Chorus 1, Post-Chorus 1, Post-Chorus 2, Post-Chorus 2, Post-Chorus 2, Post-Chorus 2, Post-Chorus 2, Post-Chorus 2, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Verse 4, Verse 4, Verse 4, Verse 4, Chorus, Chorus, Chorus, Outro, Outro, Outro"
"long story short","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Verse 3, Verse 3, Verse 3, Verse 3, Verse 3, Verse 3, Verse 3, Verse 3, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Outro, Outro"
"marjorie","Verse 1, Verse 1, Verse 1, Verse 1, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Outro, Outro, Outro, Outro, Outro, Outro, Outro, Outro"
"closure","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus"
"evermore","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge 1, Bridge 1, Bridge 1, Bridge 1, Bridge 1, Bridge 1, Bridge 1, Bridge 1, Bridge 2, Bridge 2, Bridge 2, Bridge 2, Bridge 2, Bridge 2, Bridge 2, Bridge 2, Bridge 2, Bridge 2, Bridge 2, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus"
"right where you left me","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus"
"it's time to go","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Chorus, Chorus, Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Verse 3, Verse 3, Verse 3, Verse 3, Verse 3, Verse 3, Verse 3, Verse 3, Chorus, Chorus, Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Outro, Outro, Outro, Outro, Outro, Outro, Outro, Outro, Outro"
"Lavender Haze","Intro, Verse 1, Verse 1, Verse 1, Verse 1, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Post-Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Outro, Outro, Outro, Outro, Outro"
"Maroon","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Outro, Outro"
"Anti-Hero","Verse 1, Verse 1, Verse 1, Verse 1, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Breakdown, Breakdown, Breakdown, Breakdown, Breakdown, Breakdown, Chorus, Chorus, Chorus, Chorus, Chorus"
"Snow On The Beach","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Outro, Outro, Outro, Outro, Outro, Outro, Outro, Outro, Outro, Outro"
"You're On Your Own, Kid","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus"
"Midnight Rain","Intro, Intro, Intro, Intro, Intro, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Outro, Outro, Outro, Outro, Outro, Outro, Outro, Outro, Outro"
"Question...?","Intro, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus"
"Vigilante Shit","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Verse 3, Verse 3, Verse 3, Verse 3, Verse 3, Chorus, Chorus, Chorus, Chorus, Chorus"
"Bejeweled","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Post-Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Post-Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Outro, Outro, Outro, Outro, Outro, Outro, Outro, Outro"
"Labyrinth","Verse 1, Verse 1, Verse 1, Verse 1, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus"
"Karma","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Breakdown, Breakdown, Breakdown, Breakdown, Breakdown, Breakdown, Breakdown, Breakdown, Breakdown, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Outro, Outro, Outro, Outro"
"Sweet Nothing","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus"
"Mastermind","Verse 1, Verse 1, Verse 1, Verse 1, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus"
"The Great War","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Post-Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Verse 3, Verse 3, Verse 3, Verse 3, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Outro, Outro, Outro, Outro, Outro"
"Bigger Than The Whole Sky","Verse 1, Verse 1, Verse 1, Verse 1, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus"
"Paris","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus"
"High Infidelity","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Refrain, Refrain, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Refrain, Refrain, Refrain, Refrain, Refrain, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Refrain, Refrain, Refrain, Refrain, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Post-Chorus, Outro, Outro, Outro, Outro, Outro, Outro, Outro"
"Glitch","Verse 1, Verse 1, Verse 1, Verse 1, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus"
"Would've, Could've, Should've","Verse 1, Verse 1, Verse 1, Verse 1, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Pre-Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Verse 3, Verse 3, Verse 3, Verse 3, Chorus, Chorus, Chorus, Chorus, Chorus, Outro, Outro, Outro, Outro, Outro, Outro, Outro, Outro, Outro, Outro, Outro, Outro, Outro, Outro, Outro, Outro, Outro, Outro"
"Dear Reader","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Outro, Outro, Outro, Outro, Outro, Outro, Outro"
"Hits Different","Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Verse 1, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Verse 2, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Bridge, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus, Chorus"
